Webbsida,"Total time","HTTP Code"
http://skatteverket.se,0.185104,301
http://aftonbladet.se,0.012694,301
http://umea.se,0.618395,200
http://upplevelseriket.se,0.145756,200
http://arbetsformedlingen.se,0.023407,302
http://sunet.se,0.011661,302
http://kungahuset.se,0.021565,301
http://migrationsverket.se,0.028441,301
http://studera.nu,0.067158,200
http://micros-fidelio.se,0.15284,301
http://brio.se,0.131193,301
http://kvik.se,0.140465,301
http://sasmedia.se,0.305476,302
http://eniro.se,0.032406,301
http://forum24.se,0.016353,302
http://dis.se,0.032969,301
http://shipsforsale.se,0.217361,303
http://metoperafamily.org,0.325289,301
http://tena.us,0.112122,301
http://legoland.com,0.311469,200
http://corinthia.com,0.383742,200
http://musiccenter.org,0.591376,301
http://passagen.se,0.017994,301
http://surftown.se,0.129317,200
http://webtraffic.se,0.037639,302
http://spray.se,0.011648,301
http://lu.se,0.032467,301
