Webbsida,"Total time","HTTP Code"
http://skatteverket.se,0.008256,301
http://aftonbladet.se,0.01182,301
http://umea.se,0.218494,200
http://upplevelseriket.se,0.091503,200
http://arbetsformedlingen.se,0.012218,302
http://sunet.se,0.009846,302
http://kungahuset.se,0.016524,301
http://migrationsverket.se,0.023825,301
http://studera.nu,0.048634,200
http://micros-fidelio.se,0.067716,301
http://brio.se,0.092252,301
http://kvik.se,0.091584,301
http://sasmedia.se,0.262153,302
http://eniro.se,0.028837,301
http://forum24.se,0.015024,302
http://dis.se,0.020841,301
http://shipsforsale.se,0.123211,303
http://metoperafamily.org,0.219609,301
http://tena.us,0.033251,301
http://legoland.com,0.122172,200
http://corinthia.com,0.264479,200
http://musiccenter.org,0.349805,301
http://passagen.se,0.008003,301
http://surftown.se,0.114835,200
http://webtraffic.se,0.006479,302
http://spray.se,0.007287,301
http://lu.se,0.027111,301
