Webbsida,"Total time","HTTP Code"
http://skatteverket.se,0.345645,301
http://aftonbladet.se,0.345557,301
http://umea.se,0.212875,200
http://upplevelseriket.se,0.148012,200
http://arbetsformedlingen.se,0.009319,302
http://sunet.se,0.006033,302
http://kungahuset.se,0.00877,301
http://migrationsverket.se,0.015835,301
http://studera.nu,0.039722,200
http://micros-fidelio.se,0.080426,301
http://brio.se,0.09317,301
http://kvik.se,0.093513,301
http://sasmedia.se,0.262268,302
http://eniro.se,0.030307,301
http://forum24.se,0.010801,302
http://dis.se,0.018225,301
http://shipsforsale.se,0.125626,303
http://metoperafamily.org,0.691438,301
http://tena.us,0.030822,301
http://legoland.com,0.119749,200
http://corinthia.com,0.690732,200
http://musiccenter.org,0.348449,301
http://passagen.se,0.008337,301
http://surftown.se,0.116794,200
http://webtraffic.se,0.37424,302
http://spray.se,0.012831,301
http://lu.se,0.028483,301
